"","scientific_name.x","dispersal_km","Migration_km","mean.hra.m2","Mass_kg","class","order","diet_broadest_cat","media_simplified","media_dispersal","media_migration","media_foraging","hr.radius"
"159","Spiza_americana",0.1126,3533.9,8900,0.035,"Aves","Passeriformes","Omnivore","air","air","air","air",0.0532255388609241
"160","Lanius_ludovicianus",79.7001,567.5,60000,0.0481,"Aves","Passeriformes","Invertivore","air","air","air","air",0.138197659788534
"161","Pipilo_erythrophthalmus",15.0001,569.8,73100,0.041,"Aves","Passeriformes","Herbivore","air","air","air","air",0.15254000354017
"162","Charadrius_montanus",3.5001,1165.3,566000,0.0957,"Aves","Charadriiformes","Invertivore","","air","air","land_air",0.424456588569462
"163","Cardellina_canadensis",0.5001,5217.1,10117.1,0.0093,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0567483299270563
"164","Setophaga_pensylvanica",35.0001,3458.6,6070.28,0.0096,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0439571397602681
"165","Setophaga_petechia",0.1196,3740,1699.68,0.0095,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0232599429781946
"166","Spizella_passerina",40.0001,1839.1,30756.1,0.0142,"Aves","Passeriformes","Omnivore","air","air","air","air",0.0989442807364695
"167","Sturnella_magna",6.0001,359.4,30351.4,0.089,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0982911526004182
"168","Sturnella_neglecta",0.5001,877.5,30351.4,0.089,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0982911526004182
"169","Troglodytes_aedon",75.0001,1142,4046.86,0.0112,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0358908838843756
"170","Troglodytes_troglodytes",8.9001,1127.8,10117.1,0.0095,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0567483299270563
"171","Vireo_bellii",4.0001,1537.3,11735.9,0.01,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0611199884920175
"172","Vireo_griseus",55.0001,1122.6,1335.463,0.0114,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0206177369158854
"173","Megascops_asio",2.3001,0,485100,0.2021,"Aves","Strigiformes","Invertivore","air","air","","air",0.392953083443503
"174","Malurus_splendens",2.4001,0,43000,0.01,"Aves","Passeriformes","Invertivore","air","air","","air",0.116992842113964
"175","Perisoreus_canadensis",11.3001,0,870000,0.071,"Aves","Passeriformes","Omnivore","air","air","","air",0.526241010355424
"176","Strix_nebulosa",50.0001,0,47800000,1.16,"Aves","Strigiformes","Carnivore","air","air","","air",3.90066821962407
"177","Tetrastes_bonasia",5.7001,0,120000,0.429,"Aves","Galliformes","Herbivore","land","land","","land",0.195441004761168
"178","Panthera_leo",12.3001,0,2.4e+08,155.8,"Mammalia","Carnivora","Carnivore","land","land","","land",8.74038744473663
"179","Leopardus_pardalis",9.9001,0,16100000,9.98964,"Mammalia","Carnivora","Carnivore","land","land","","land",2.26379971895904
"180","Peromyscus_maniculatus",1.3201,0,8100,0.016,"Mammalia","Rodentia","Omnivore","land","land","","land",0.0507770625192981
"181","Picoides_borealis",90.0001,0,869000,0.044,"Aves","Piciformes","Invertivore","air","air","","air",0.525938486035881
"182","Gymnorhinus_cyanocephalus",640.0001,0,59800000,0.103,"Aves","Passeriformes","Omnivore","air","air","","air",4.36290398631355
"183","Caracal_caracal",90.0001,0,275760000,12.9999,"Mammalia","Carnivora","Carnivore","land","land","","land",9.36894520285193
"184","Mustela_nivalis",6.6401,0,67500,0.0881,"Mammalia","Carnivora","Carnivore","land","land","","land",0.146580753570876
"185","Aquila_adalberti",430.0001,0,1.2e+07,3,"Aves","Accipitriformes","Carnivore","air","air","","air",1.95441004761168
"186","Parabuteo_unicinctus",160.0001,0,3900000,0.73,"Aves","Accipitriformes","Carnivore","air","air","","air",1.11418515342684
"187","Iguana_iguana",1.4101,0,4370,1.068414286,"Reptilia","Squamata","Herbivore","land","land","","land",0.0372963028009904
"188","Lagopus_lagopus",7.5001,0,25899.9,0.62,"Aves","Galliformes","Herbivore","land","land","","land",0.0907975452375865
"189","Poecile_palustris",1.7701,0,22662.4,0.011,"Aves","Passeriformes","Invertivore","air","air","","air",0.0849333030362739
"190","Aegithalos_caudatus",24.9001,0,42000,0.008,"Aves","Passeriformes","Invertivore","air","air","","air",0.115624457705622
"191","Lampropeltis_triangulum",0.5001,0,240400,0.165,"Reptilia","Squamata","Carnivore","land","land","","land",0.276625553119345
"192","Picus_viridis",27.8001,0,1850000,0.18667,"Aves","Piciformes","Invertivore","air","air","","air",0.767380798196054
"193","Coluber_constrictor",2.2901,0,151000,0.55615,"Reptilia","Squamata","Carnivore","land","land","","land",0.219236841825804
"194","Dicamptodon_tenebrosus",0.06635,0.05,2978.58,0.06765,"Amphibia","Caudata","Carnivore","land","land","land","land",0.0307914186225532
"195","Thomomys_bottae",0.3001,0,71.14,0.16018,"Mammalia","Rodentia","Herbivore","land","land","","land",0.00475863061217351
"196","Carcharhinus_limbatus",2146.0001,2148,977000,25.258,"Chondrichthyes","Carcharhiniformes","Carnivore","water","marine","marine","marine",0.557663661001471
"197","Sternotherus_odoratus",0.0111,0,28000,0.19,"Reptilia","Testudines","Carnivore","land","land","","aquatic",0.094406974388263
"198","Nerodia_erythrogaster",1.0001,0,131000,0.31324,"Reptilia","Squamata","Carnivore","land","land_aquatic","","land_aquatic",0.2042023386009
"199","Pseudacris_triseriata",0.2131,0,2117,0.00179,"Amphibia","Anura","Invertivore","land","land","land","land",0.0259588526143026
"200","Riparia_riparia",144.0001,3454,282743,0.012,"Aves","Passeriformes","Invertivore","air","air","air","air",0.299999820248719
"201","Accipiter_cooperii",35.2001,2500,84646.0836,0.47,"Aves","Accipitriformes","Carnivore","air","air","air","aor",0.164145317437384
"202","Asio_flammeus",326.9001,4722,408.04,0.315,"Aves","Strigiformes","Carnivore","air","air","air","air",0.0113966295876647
"203","Buteo_lineatus",24.0001,1000,4604.9796,0.625,"Aves","Accipitriformes","Carnivore","air","air","air","air",0.0382859051395507
"204","Buteo_swainsoni",320.0001,13504,182628.0225,0.988,"Aves","Accipitriformes","Carnivore","air","air","air","air",0.241106418529134
"205","Chordeiles_minor",0.0501,11000,108.16,0.062,"Aves","Caprimulgiformes","Invertivore","air","air","air","air",0.00586757166889667
"206","Falco_sparverius",4.9301,6000,31201.6896,0.114,"Aves","Falconiformes","Carnivore","air","air","air","air",0.0996584480378757
"207","Haliaeetus_leucocephalus",69.2001,930,41330.89,3.997,"Aves","Accipitriformes","Carnivore","air","air","air","air",0.114699742335259
"208","Falco_columbarius",81.1001,3400,125663.7,0.218,"Aves","Falconiformes","Carnivore","air","air","air","air",0.199999995111085
"209","Falco_peregrinus",357.0001,8600,12600000,0.7815,"Aves","Falconiformes","Carnivore","air","air","air","air",2.00267435343736
"210","Numenius_phaeopus",1.6301,5000,210000,0.4,"Aves","Charadriiformes","Omnivore","air","air","air","air_land",0.258544147291321
"211","Sayornis_nigricans",34.4001,100,700,0.02,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0149270533036046
"212","Eudocimus_albus",100.0001,0,12570000,1.04,"Aves","Pelecaniformes","Carnivore","","air","","air_land",2.00028879648171
"213","Anas_platyrhynchos",19.9001,676,2250000,1.082,"Aves","Anseriformes","Herbivore","","air","air","air_aquatic",0.846284375321634
"214","Calidris_mauri",0.0876,3200,706.8,0.047,"Aves","Charadriiformes","Carnivore","","air","air","air_land",0.0149993809057142
"215","Anas_crecca",0.5001,5000,747500,0.35,"Aves","Anseriformes","Herbivore","","air","air","air_land_aquatic",0.487787494635096
"216","Zenaida_macroura",4.8001,2900,2170000,0.119,"Aves","Columbiformes","Herbivore","air","air","air","air",0.831103154258739
"217","Calcarius_lapponicus",0.3986,6500,17600,0.0286,"Aves","Passeriformes","Herbivore","air","air","air","air",0.0748482063701911
"218","Mimus_polyglottos",45.0001,0,4000,0.0501,"Aves","Passeriformes","Omnivore","air","air","","air",0.0356824823230554
"219","Thryomanes_bewickii",0.7301,200,4800,0.011,"Aves","Passeriformes","Carnivore","air","air","air","air",0.0390882009522336
"220","Aegolius_acadicus",9.0001,467,1400000,0.085,"Aves","Strigiformes","Carnivore","air","air","air","air",0.667558117812455
"221","Aquila_chrysaetos",55.3001,2200,2.2e+07,1.6,"Aves","Accipitriformes","Carnivore","air","air","air","air",2.64628371420061
"222","Asio_otus",161.6001,800,5100000,0.252,"Aves","Strigiformes","Carnivore","air","air","air","air",1.27411946831423
"223","Buteo_regalis",592.0001,2376,1.2e+07,1.776,"Aves","Accipitriformes","Carnivore","air","air","air","air",1.95441004761168
"224","Falco_mexicanus",2.5001,0,2.6e+07,0.801,"Aves","Falconiformes","Carnivore","air","air","","air",2.8768136958758
"225","Athene_cunicularia",30.0001,2735,10568.3,0.15,"Aves","Strigiformes","Carnivore","","air","air","air_land",0.0579999514668431
"226","Dolichonyx_oryzivorus",1.5221,8057,7450,0.042,"Aves","Passeriformes","Omnivore","","air","air","air_land",0.0486971113318772
"227","Hirundo_rustica",65.0001,12000,785000,0.019,"Aves","Passeriformes","Carnivore","air","air","air","air",0.499873244587341
"228","Branta_canadensis",30.5001,3500,8960000,3.814,"Aves","Anseriformes","Herbivore","","air","air","air_land",1.6888032982579
"229","Calidris_alpina",2.5001,4800,15300000,0.052,"Aves","Charadriiformes","Carnivore","","air","air","air_land",2.20683965403289
"230","Charadrius_vociferus",1.6391,4348,42150,0.095,"Aves","Charadriiformes","Omnivore","","air","air","air_land",0.115830745929769
"231","Grus_americana",16.6001,4000,4100000,6.9,"Aves","Gruiformes","Omnivore","","air","air","air_land",1.14239683707263
"232","Junco_hyemalis",1.0031,4000,8330,0.022,"Aves","Passeriformes","Herbivore","air","air","air","air",0.0514929252607674
"233","Molothrus_ater",10.4301,2000,164670000,0.044,"Aves","Passeriformes","Carnivore","air","air","air","air",7.2398956455107
"234","Arenaria_interpres",3.0001,5700,328900,0.14,"Aves","Charadriiformes","Carnivore","","air","air","air_land",0.323561619426422
"235","Piranga_olivacea",25.0001,5004,67000,0.029,"Aves","Passeriformes","Invertivore","air","air","air","air",0.146036852795156
"236","Progne_subis",336.0001,7600,19064472000,0.049,"Aves","Passeriformes","Invertivore","air","air","air","air",77.8999994382161
"237","Accipiter_gentilis",1150.0001,346,2130000,0.978,"Aves","Accipitriformes","Invertivore","air","air","air","air",0.823407588968837
"238","Accipiter_striatus",367.4001,1500,1e+06,0.141,"Aves","Accipitriformes","Carnivore","air","air","air","air",0.564189583547756
"239","Turdus_migratorius",40.0001,6400,1214.06,0.077,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0196582629044454
"240","Tachycineta_bicolor",0.1291,5500,1370000,0.02,"Aves","Passeriformes","Invertivore","air","air","air","air",0.660366976818037
"241","Actitis_macularia",146.7001,6700,50000,0.04,"Aves","Charadriiformes","Carnivore","","air","air","air_land",0.126156626101008
"242","Agelaius_phoeniceus",32.1001,2500,9310,0.053,"Aves","Passeriformes","Herbivore","air","air","air","air",0.0544377170753063
"243","Vireo_olivaceus",95.0001,5083,7284.33,0.0176,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0481526141889012
"244","Cygnus_buccinator",128.0001,700,508000,11.4,"Aves","Anseriformes","Herbivore","","air","air","land_aquatic",0.402121153610906
"245","Corvus_brachyrhynchos",85.0001,912,6400000,0.448,"Aves","Passeriformes","Omnivore","air","air","air","air",1.42729929292222
"246","Antechinus_stuartii",1.5001,0,35000.16,0.0275,"Mammalia","Dasyuromorphia","Carnivore","land","land","","land",0.105550447398457
"247","Mephitis_mephitis",21.7001,0,40000,2.586,"Mammalia","Carnivora","Omnivore","air","land","","land",0.112837916709551
"248","Neovison_vison",45.1001,0,2700000,0.908,"Mammalia","Carnivora","Carnivore","","land","","land_aquatic",0.927058084855655
"249","Ambystoma_californiense",0.6701,0.0359,7.07,0.0266,"Amphibia","Caudata","Invertivore","land","land","land","land",0.00150015029091068
"250","Procyon_lotor",265.5001,0,3521000,8,"Mammalia","Carnivora","Omnivore","land","land","","land",1.05866383203221
"251","Crotalus_horridus",4.0701,4,2579600,1.02,"Reptilia","Squamata","Carnivore","land","inferred","","land",0.906152405724173
"252","Plethodon_jordani",0.3001,0,25,0.00427,"Amphibia","Caudata","Invertivore","land","land","","land",0.00282094791773878
"253","Ambystoma_maculatum",0.7561,0.118,12.57,0.03537,"Amphibia","Caudata","Invertivore","land","land","land","land",0.00200028879648171
"254","Natrix_natrix",0.1141,0.3,99000,0.0785,"Reptilia","Squamata","Carnivore","land","land","land","land",0.177518108181096
"255","Lacerta_agilis",0.0564,0,384,0.0314,"Reptilia","Squamata","Invertivore","land","land","","land",0.0110558127830827
"256","Gopherus_polyphemus",0.7401,0.2,4500,0.335,"Reptilia","Testudines","Herbivore","land","land","land","land",0.0378469878303024
"257","Carinascincus_microlepidotus",0.0525,0,12.1,0.0042,"Reptilia","Squamata","Invertivore","land","land","","land",0.00196253652776805
"258","Cygnus_olor",114.0001,760,60000,11.8,"Aves","Anseriformes","Herbivore","","air","air","land_aquatic_marine",0.138197659788534
"259","Erithacus_rubecula",79.8001,500,0.372,0.018,"Aves","Passeriformes","Invertivore","air","air","air","air",0.000344109397808851
"260","Sylvia_atricapilla",117.0001,2500,369300,0.0155,"Aves","Passeriformes","Omnivore","air","air","air","air",0.342858339504341
"261","Corvus_corone",35.5001,0,177205.5,0.57,"Aves","Passeriformes","Omnivore","air","air","","air",0.237500026391876
"262","Cyanistes_caeruleus",35.7001,0,16000,0.0133,"Aves","Passeriformes","Invertivore","air","air","","air",0.0713649646461108
"263","Parus_major",41.1001,0,10000,0.0197,"Aves","Passeriformes","Invertivore","air","air","","air",0.0564189583547756
"264","Pica_pica",44.3001,0,15000,0.189,"Aves","Passeriformes","Omnivore","air","air","","air",0.0690988298942671
"265","Streptopelia_decaocto",59.9001,0,106200,0.152,"Aves","Columbiformes","Omnivore","air","air","","air",0.183860028045028
"266","Motacilla_cinerea",85.6001,3000,23000,0.018,"Aves","Passeriformes","Invertivore","air","air","air","air",0.085563586777479
"267","Emberiza_citrinella",36.0001,500,40000,0.0265,"Aves","Passeriformes","Herbivore","air","air","air","air",0.112837916709551
"268","Alauda_arvensis",51.7001,1500,29000,0.0427,"Aves","Passeriformes","Omnivore","air","air","air","air",0.0960780240186586
"269","Passer_montanus",8.0001,500,7600,0.022,"Aves","Passeriformes","Omnivore","air","air","air","air",0.0491849075936594
"270","Turdus_merula",4.0001,0,7284.34,0.092,"Aves","Passeriformes","Omnivore","air","air","","air",0.0481526472410815
"271","Columba_livia",3.0001,0,16400,0.393,"Aves","Columbiformes","Herbivore","air","air","","air",0.0722515199384357
"272","Columba_palumbus",150.0001,500,2540000,0.49,"Aves","Columbiformes","Omnivore","air","air","air","air",0.89917023466462
"273","Motacilla_alba",100.0001,2500,785000,0.02122,"Aves","Passeriformes","Invertivore","air","air","air","air",0.499873244587341
"274","Saxicola_rubetra",0.5001,6000,7300,0.01648,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0482043791490117
"275","Sitta_europaea",24.1001,0,21000,0.0183,"Aves","Passeriformes","Invertivore","air","air","","air",0.0817588381146626
"276","Passer_domesticus",4.0001,0,7762.5,0.029,"Aves","Passeriformes","Herbivore","air","air","","air",0.0497079519946424
"277","Brachylagus_idahoensis",1.9501,0,4858.81,0.3402,"Mammalia","Lagomorpha","Herbivore","land","land","","air",0.0393269279004687
"278","Zapus_hudsonius",4.8301,0,5300,0.022,"Mammalia","Rodentia","Omnivore","land","land","","land",0.0410736216661508
"279","Microtus_montanus",1.7501,0,151.6,0.0567,"Mammalia","Rodentia","Herbivore","land","land","","land",0.00694663794547137
"280","Sorex_cinereus",5.0901,0,5011.87,0.00417,"Mammalia","Eulipotyphla","Carnivore","land","land","","land",0.0399415544172727
"281","Carcharhinus_melanopterus",5.0001,50,5e+05,5.518,"Chondrichthyes","Carcharhiniformes","Carnivore","water","marine","marine","marine",0.398942280401433
"282","Meleagris_gallopavo",48.0001,0,14520000,6.023,"Aves","Galliformes","Omnivore","land","land","","land",2.14985105237285
"283","Alouatta_palliata",1.3001,0,404500,6.12,"Mammalia","Primates","Herbivore","land","land","","land",0.358826349313067
"284","Aplodontia_rufa",0.1526,0,1800,1.135,"Mammalia","Rodentia","Herbivore","land","land","","land",0.023936536824086
"285","Tympanuchus_cupido",10.8001,0,53200,0.908,"Aves","Galliformes","Herbivore","land","land","","land",0.130131033750515
"286","Strix_aluco",35.3001,0,360000,0.519,"Aves","Strigiformes","Carnivore","air","air","","air",0.338513750128654
"287","Aegolius_funereus",300.0001,0,1138000,0.119,"Aves","Strigiformes","Carnivore","air","air","","air",0.60186098932989
"288","Poecile_atricapillus",11.2001,0,14568.7,0.011,"Aves","Passeriformes","Omnivore","air","air","","air",0.0680981735353144
"289","Accipiter_nisus",166.0001,1100,10800000,0.807,"Aves","Accipitriformes","Carnivore","air","air","air","air",1.85411616971131
"290","Myodes_gapperi",0.2201,0,2500,0.016,"Mammalia","Rodentia","Omnivore","land","land","","land",0.0282094791773878
"291","Chelydra_serpentina",0.1831,0.5,65300,4.25,"Reptilia","Testudines","Carnivore","land","land","land","aquatic",0.144172242709204
"292","Athene_noctua",94.3001,0,280000,0.1565,"Aves","Strigiformes","Omnivore","air","air","","air",0.298541066072092
"293","Neotoma_micropus",0.0614,0,580.55,0.25515,"Mammalia","Rodentia","Herbivore","land","land","","land",0.0135939252765344
"294","Tyto_alba",97.1001,0,1500000,0.285,"Aves","Strigiformes","Carnivore","air","air","","air",0.690988298942671
"295","Chlorocebus_aethiops",0.5001,0,543040,4.65,"Mammalia","Primates","Omnivore","land","land","","land",0.415758343985116
"296","Aphelocoma_coerulescens",1.8001,0,21000,0.0724,"Aves","Passeriformes","Omnivore","air","air","","air",0.0817588381146626
"297","Linaria_cannabina",22.0001,2500,3140000,0.0155,"Aves","Passeriformes","Herbivore","air","air","air","air",0.999746489174682
"298","Pituophis_melanoleucus",0.3071,0,701000,1.004,"Reptilia","Squamata","Carnivore","land","land","","land",0.472371919375863
"299","Genetta_genetta",50.0001,0,7809981.41,1.75001,"Mammalia","Carnivora","Carnivore","land","land","","land",1.57670361631938
"300","Ambystoma_talpoideum",1.0001,0.155,4.45,0.00294,"Amphibia","Caudata","Invertivore","land","land","land","land_aquatic",0.00119015923032083
"301","Gloydius_shedaoensis",0.1001,0,2613.69,0.19681,"Reptilia","Squamata","Carnivore","land","land","","land",0.0288437751762787
"302","Buteo_buteo",72.4001,702,1450000,0.846,"Aves","Accipitriformes","Carnivore","air","air","air","air",0.679374223065975
"303","Zootoca_vivipara",0.1001,0,920,0.0032,"Reptilia","Squamata","Invertivore","land","land","","land",0.0171127173554958
"304","Delichon_urbicum",34.8001,5250,636000,0.02,"Aves","Passeriformes","Invertivore","air","air","air","air",0.449938982099674
"305","Bison_bison",125.6001,93,265778594.2,629.9992,"Mammalia","Artiodactyla","Herbivore","land","land","land","land",9.19782333326151
"306","Tragelaphus_oryx",461.0001,213,52399844.72,635.03842,"Mammalia","Artiodactyla","Herbivore","land","land","land","land",4.08404072076559
"307","Scaphiopus_holbrookii",0.8251,0.1304,53420,0.02046,"Amphibia","Anura","Invertivore","land","land","land","land",0.130399824079399
"308","Rana_sylvatica",2.5301,0.3,64.5,0.0144,"Amphibia","Anura","Invertivore","land","land","land","land",0.00453111329132858
"309","Pelobates_fuscus",0.5001,0.0179,148.2,0.0216,"Amphibia","Anura","Invertivore","water","land","land","land",0.00686829856168453
"310","Bombina_variegata",0.3129,0.19273,2330,0.00632,"Amphibia","Anura","Invertivore","water","land","land","land",0.0272334726909411
"311","Salamandra_salamandra",0.0301,0.0665,494,0.03523,"Amphibia","Caudata","Invertivore","land","land","land","land",0.0125397401797163
"312","Bombina_bombina",1.0001,0.17,60,0.00307,"Amphibia","Anura","Invertivore","water","land","land","land_aquatic",0.00437019372236832
"313","Bufo_bufo",3.62112,0.015,50,0.07654,"Amphibia","Anura","Invertivore","land","land","land","land",0.00398942280401433
"314","Epidalea_calamita",0.0681,0.51066,1450,0.05022,"Amphibia","Anura","Invertivore","land","land","land","land",0.0214836992849578
"315","Hyla_arborea",12.6001,0.39,10,0.00604,"Amphibia","Anura","Invertivore","land","land","land","land",0.00178412411615277
"316","Rana_arvalis",7.6001,0.0085,100,0.0108,"Amphibia","Anura","Invertivore","land","land","land","land",0.00564189583547756
"317","Rana_dalmatina",0.3001,0.1942,90,0.02099,"Amphibia","Anura","Invertivore","land","land","land","land",0.00535237234845831
"318","Rana_temporaria",0.4601,0.031,119.5,0.04224,"Amphibia","Anura","Invertivore","land","land","land","land_aquatic",0.00616749798532298
"319","Anaxyrus_americanus",0.6861,0.45273,687.95,0.06,"Amphibia","Anura","Invertivore","land","land","land","land",0.014798016292738
"320","Microcebus_murinus",0.1571,0,19166.6667,0.06,"Mammalia","Primates","Invertivore","land","land","","land",0.0781085110330472
"321","Hoplocephalus_bungaroides",0.9001,0.78,27379,0.04879,"Reptilia","Squamata","Carnivore","land","land","land","land",0.0933541984799077
