A/P,group,Scientific Name,Body Mass (g),Max. Indiv. Dispersal Distance (m),logmass,logdist
A,Amphib,Rhyacotritdon cascade,2.45E+00,6.09E+00,0.388,0.784617293
A,Amphib,Eleutherodactylus coqui,5.80E+00,6.68E+00,0.764,0.824776462
A,Amphib,Plethodon vehiculum,2.10E+00,8.50E+00,0.321,0.929418926
A,Amphib,Leiopelma hochstetteri,1.43E+00,1.27E+01,0.155,1.102090526
A,Amphib,Plethodon kentucki,7.90E+00,1.40E+01,0.898,1.144574208
A,Amphib,Atelopus varius,3.88E+00,2.00E+01,0.588,1.301029996
A,Amphib,Dendrobates pumilio,3.81E+00,2.00E+01,0.581,1.301029996
A,Amphib,Aneides vagrans,3.27E+00,2.03E+01,0.515,1.307496038
A,Amphib,Desmognathus quadromaculatus,1.18E+01,2.50E+01,1.073,1.397940009
A,Amphib,Salamandra atra aurorae,1.27E+01,3.00E+01,1.104,1.477121255
A,Amphib,Salamandra salamandra,7.97E+01,3.00E+01,1.901,1.477121255
A,Amphib,Eleutherodactylus fitzingeri,1.33E+00,3.50E+01,0.123,1.544068044
A,Amphib,Desmognathus fuscus,2.84E+00,4.00E+01,0.453,1.602059991
A,Amphib,Phyllomedusa bicolor,9.44E-02,4.66E+01,-1.025,1.668385917
A,Amphib,Necturus beyeri,2.99E+01,6.50E+01,1.476,1.812913357
A,Amphib,Dicamptodon tenebrosus,6.77E+01,6.63E+01,1.83,1.821185883
A,Amphib,Hynobius nebulosus tokyoensis,2.31E+01,9.00E+01,1.364,1.954242509
A,Amphib,Plethodon cinereus,2.35E+00,9.00E+01,0.372,1.954242509
A,Amphib,Plethodon glutinosus,1.57E+01,9.15E+01,1.196,1.961421094
A,Amphib,Aneides aeneus,4.01E+00,1.06E+02,0.604,2.025305865
A,Amphib,Hyla versicolor,6.27E+00,1.25E+02,0.797,2.096910013
A,Amphib,Ambystoma texanum,1.13E+01,1.25E+02,1.051,2.096910013
A,Amphib,Ensatina eschscholtzii platensis,4.15E+00,1.50E+02,0.618,2.177247836
A,Amphib,Triturus vulgaris,3.39E+00,1.82E+02,0.53,2.260071388
A,Amphib,Mixophes fleayi,7.30E+01,1.97E+02,1.863,2.29380436
A,Amphib,Pseudacris triseriata,1.79E+00,2.13E+02,0.252,2.328379603
A,Amphib,Necturus maculosus,1.94E+02,2.56E+02,2.287,2.408239965
A,Amphib,Bufo japonicus formosus,2.51E+01,2.60E+02,1.399,2.414973348
A,Amphib,Mixophyes iteratus,9.44E-02,2.68E+02,-1.025,2.428134794
A,Amphib,Amphiuma tridactylum,4.52E+03,2.97E+02,3.655,2.472756449
A,Amphib,Triturus carnifex,1.96E+01,2.99E+02,1.292,2.475671188
A,Amphib,Rana dalmatina,4.11E+01,3.00E+02,1.613,2.477121255
A,Amphib,Plethodon jordani,4.43E+00,3.00E+02,0.646,2.477121255
A,Amphib,Bombina variegata,2.50E-03,3.13E+02,-2.602,2.495266744
A,Amphib,Bufo hemiophrys,3.13E+01,3.42E+02,1.496,2.534026106
A,Amphib,Ascaphus truei,5.14E+00,3.60E+02,0.711,2.556302501
A,Amphib,Syrrhophus marnocki,2.28E+00,3.80E+02,0.359,2.580229091
A,Amphib,Ambystoma laterale ,3.05E+00,4.05E+02,0.484,2.607455023
A,Amphib,Eurycea bislineata,2.01E+00,4.20E+02,0.304,2.62324929
A,Amphib,Bufo baxteri,1.94E+01,4.24E+02,1.288,2.627160952
A,Amphib,Rana temporaria,2.85E+01,4.60E+02,1.455,2.662757832
A,Amphib,Heleioporus australiacus,6.40E+01,4.63E+02,1.806,2.665580991
A,Amphib,Gyrinophilus porphyriticus,1.68E+01,4.90E+02,1.225,2.69019608
A,Amphib,Pelobates fuscus,5.06E+01,5.00E+02,1.704,2.698970004
A,Amphib,Triturus alpestris,1.93E+00,5.00E+02,0.286,2.698970004
A,Amphib,Ambystoma tigrinum,1.13E+02,6.00E+02,2.052,2.77815125
A,Amphib,Eurycea quadridigitata,8.58E-01,6.00E+02,-0.066,2.77815125
A,Amphib,Gastrophryne olivacea,2.47E+00,6.10E+02,0.393,2.785044958
A,Amphib,Ambystoma californiense,2.66E+01,6.70E+02,1.425,2.826074803
A,Amphib,Pseudacris maculata,1.79E+00,6.86E+02,0.252,2.836197481
A,Amphib,Notophthalmus perstriatus ,5.91E-01,7.09E+02,-0.228,2.850646235
A,Amphib,Ambystoma maculatum,3.54E+01,7.56E+02,1.549,2.878521796
A,Amphib,Bufo valliceps,7.28E+01,8.00E+02,1.862,2.903089987
A,Amphib,Physalaemus pustulosus,1.33E+00,8.20E+02,0.123,2.913813852
A,Amphib,Scaphious holbrooki,2.05E+01,8.25E+02,1.311,2.916453949
A,Amphib,Bufo punctatus,1.33E+01,9.00E+02,1.125,2.954242509
A,Amphib,Gastrophryne carolinensis,2.11E+00,9.14E+02,0.324,2.960946196
A,Amphib,Cryptobranchus alleganiensis,1.16E+03,9.90E+02,3.065,2.995635195
A,Amphib,Ambystoma opacum,3.76E+00,1.00E+03,0.575,3
A,Amphib,Ambystoma talpoideum,2.94E+00,1.00E+03,0.469,3
A,Amphib,Notophthalmus viridescens ,3.05E+00,1.00E+03,0.484,3
A,Amphib,Rana muscosa,2.52E+01,1.02E+03,1.401,3.008600172
A,Amphib,Ambystoma macrodactylum,8.46E+00,1.17E+03,0.927,3.068185862
A,Amphib,Rana pretiosa,3.36E+01,1.28E+03,1.526,3.107264253
A,Amphib,Rana catesbeiana,1.76E+02,1.60E+03,2.245,3.204174266
A,Amphib,Bufo terrestris,2.99E+01,1.61E+03,1.475,3.206647806
A,Amphib,Ambystoma jeffersonianum,1.76E+01,1.61E+03,1.245,3.206825876
A,Amphib,Rana ridibunda,6.72E+01,1.76E+03,1.827,3.245512668
A,Amphib,Hyla regilla,2.27E+00,1.90E+03,0.356,3.278753601
A,Amphib,Rana sevosa,8.39E+01,2.00E+03,1.924,3.301029996
A,Amphib,Rana sylvatica,1.18E+01,2.53E+03,1.071,3.403120521
A,Amphib,Rana aurora draytonni,9.45E+01,3.60E+03,1.975,3.556302501
A,Amphib,Bufo bufo ,3.76E+01,3.62E+03,1.575,3.558830924
A,Amphib,Rana clamitans,4.86E+01,4.80E+03,1.686,3.681241237
A,Amphib,Bufo boreas,4.27E+01,6.00E+03,1.63,3.77815125
A,Amphib,Bufo americanus ,5.70E+01,6.44E+03,1.756,3.808709146
A,Amphib,Rana lutieventris,2.85E+01,6.50E+03,1.455,3.812913357
A,Amphib,Rana arvalis,8.13E+00,7.60E+03,0.91,3.880813592
A,Amphib,Rana pipiens,4.80E+00,8.00E+03,0.681,3.903089987
A,Amphib,Hyla arborea,1.10E+01,1.26E+04,1.043,4.100370545
A,Amphib,Taricha rivularis,1.88E+01,1.29E+04,1.273,4.109738805
A,Amphib,Rana lessonae,2.52E+01,1.50E+04,1.401,4.176091259
A,Amphib,Rana berlandieri,6.64E+01,1.60E+04,1.822,4.204119983
A,Amphib,Rana aurora aurora,6.46E+00,2.40E+04,0.81,4.380211242
A,Amphib,Bufo fowleri,3.13E+01,3.40E+04,1.496,4.531478917
A,Amphib,Bufo marinus,3.32E+02,3.50E+04,2.521,4.544068044
A,Annelid,Allolobophoracaliginosa,6.70E-02,1.30E+01,-1.174,1.113943352
A,Annelid,Allolobophoralonga,6.70E-02,1.30E+01,-1.174,1.113943352
A,Annelid,Lumbricusrubellus,7.10E-02,1.30E+01,-1.149,1.113943352
A,Annelid,Lumbricusterrestris,7.10E-02,1.90E+01,-1.149,1.278753601
A,Birds,Passerculussandwichensis,1.90E+01,1.60E+03,1.279,3.204119983
A,Birds,Numeniusphaeopus,4.00E+02,1.63E+03,2.602,3.212187604
A,Birds,Aphelocomacoerulescens,8.00E+01,1.80E+03,1.903,3.255272505
A,Birds,Malurussplendens,1.00E+01,2.40E+03,1,3.380211242
A,Birds,Zonotrichialeucophrys,2.94E+02,2.60E+03,2.468,3.414973348
A,Birds,Aixsponsa,6.85E+02,3.80E+03,2.836,3.579783597
A,Birds,Seiurusmotacilla,2.10E+01,4.00E+03,1.322,3.602059991
A,Birds,Bucephalaalbeola,3.34E+02,4.50E+03,2.524,3.653212514
A,Birds,Hylocichlamustelina,5.00E+01,4.68E+03,1.699,3.670245853
A,Birds,Zenaidamacroura,1.23E+02,4.80E+03,2.09,3.681241237
A,Birds,Lophodytescucullatus,6.80E+02,5.60E+03,2.833,3.748188027
A,Birds,Bonasabonasia,4.29E+02,5.70E+03,2.632,3.755874856
A,Birds,Bucephalaclangula,1.00E+03,6.00E+03,3,3.77815125
A,Birds,Dendragapuscanadensis,4.92E+02,6.00E+03,2.692,3.77815125
A,Birds,Iridoprocnebicolor,2.00E+01,6.40E+03,1.301,3.806179974
A,Birds,Lagopuslagopus,5.16E+02,7.50E+03,2.713,3.875061263
A,Birds,Tympanuchuscupido,9.99E+02,1.08E+04,3,4.033423755
A,Birds,Dendragapusobscurus,8.91E+02,1.10E+04,2.95,4.041392685
A,Birds,Parusatricapillus,1.10E+01,1.12E+04,1.041,4.049218023
A,Birds,Perisoreuscanadensis,7.10E+01,1.13E+04,1.851,4.053078443
A,Birds,Corvuscorax,1.24E+03,1.15E+04,3.093,4.059941888
A,Birds,Melospizamelodia,2.10E+01,1.32E+04,1.322,4.120573931
A,Birds,Parusmontanus,1.02E+01,1.52E+04,1.009,4.181843588
A,Birds,Prunellamodularis,1.97E+01,1.80E+04,1.294,4.255272505
A,Birds,Garrulusglandarius,1.61E+02,1.90E+04,2.207,4.278753601
A,Birds,Recurvirostraamericana,3.20E+02,1.94E+04,2.505,4.28780173
A,Birds,Vireogriseus,1.10E+01,2.00E+04,1.041,4.301029996
A,Birds,Cardueliscannabina,1.53E+01,2.20E+04,1.185,4.342422681
A,Birds,Fringillacoelebs,2.19E+01,2.26E+04,1.34,4.354108439
A,Birds,Buteolineatus,6.43E+02,2.40E+04,2.808,4.380211242
A,Birds,Sittaeuropea,2.20E+01,2.41E+04,1.342,4.382017043
A,Birds,Pyrrhulapyrrhula,2.18E+01,2.42E+04,1.338,4.383815366
A,Birds,Aegithaloscaudatus,8.20E+00,2.49E+04,0.914,4.396199347
A,Birds,Gallinulachloropus,3.40E+02,2.51E+04,2.531,4.399673721
A,Birds,Picusviridis,1.76E+02,2.78E+04,2.246,4.444044796
A,Birds,Lagopusleucurus,5.16E+02,2.90E+04,2.713,4.462397998
A,Birds,Cinchuscinclus,6.42E+01,2.98E+04,1.808,4.474216264
A,Birds,Athenecunicularia,1.50E+02,3.00E+04,2.176,4.477121255
A,Birds,Hirundofulva,2.00E+01,3.00E+04,1.301,4.477121255
A,Birds,Toxostomacurvirostre,7.90E+02,3.00E+04,2.898,4.477121255
A,Birds,Streptopeliaturtur,1.32E+02,3.04E+04,2.121,4.482873584
A,Birds,Brantacanadensis,3.81E+03,3.05E+04,3.581,4.484299839
A,Birds,Parusater,9.10E+00,3.10E+04,0.959,4.491361694
A,Birds,Emberizaschoeniclus,1.83E+01,3.16E+04,1.262,4.499687083
A,Birds,Corvusmonedula,2.46E+02,3.18E+04,2.391,4.50242712
A,Birds,Dryocopuspileatus,3.10E+02,3.20E+04,2.491,4.505149978
A,Birds,Sayornisnigricans,2.00E+01,3.44E+04,1.301,4.536558443
A,Birds,Corvusfrugilegus,4.88E+02,3.45E+04,2.688,4.537819095
A,Birds,Delichonurbica,2.00E+01,3.48E+04,1.301,4.541579244
A,Birds,Quiscalusmajor,2.10E+02,3.50E+04,2.322,4.544068044
A,Birds,Accipitercooperi,3.49E+02,3.52E+04,2.543,4.546542663
A,Birds,Strixaluco,4.78E+02,3.53E+04,2.679,4.547774705
A,Birds,Corvuscorone,5.70E+02,3.55E+04,2.756,4.550228353
A,Birds,Motacillaflava,1.76E+01,3.55E+04,1.246,4.550228353
A,Birds,Paruscaeruleus,1.10E+01,3.57E+04,1.041,4.552668216
A,Birds,Emberizacitrinella,2.65E+01,3.60E+04,1.423,4.556302501
A,Birds,Phoenicurusphoenicurus,1.47E+01,3.60E+04,1.167,4.556302501
A,Birds,Troglodytestroglodytes,9.30E+00,3.83E+04,0.968,4.583198774
A,Birds,Falcosparverius,1.20E+02,3.88E+04,2.079,4.58871978
A,Birds,Molothrusater,5.00E+01,4.00E+04,1.699,4.602059991
A,Birds,Parusmajor,2.00E+01,4.11E+04,1.301,4.613841822
A,Birds,Columbaoenas,3.02E+02,4.16E+04,2.48,4.619093331
A,Birds,Turdusviscivorus,1.15E+02,4.31E+04,2.061,4.63447727
A,Birds,Picapica,1.89E+02,4.43E+04,2.276,4.646403726
A,Birds,Passerdomesticus,2.80E+01,4.67E+04,1.447,4.669316881
A,Birds,Meleagrisgallopavo,7.40E+03,4.80E+04,3.869,4.681241237
A,Birds,Muscicapastriata,1.46E+01,4.80E+04,1.164,4.681241237
A,Birds,Strixnebulosa,1.16E+03,5.00E+04,3.064,4.698970004
A,Birds,Turdusphilomelos,6.89E+01,5.02E+04,1.838,4.700703717
A,Birds,Passermontanus,2.20E+01,5.16E+04,1.342,4.712649702
A,Birds,Alaudaarvensis,4.27E+01,5.17E+04,1.63,4.713490543
A,Birds,Cardueliscarduelis,1.56E+01,5.22E+04,1.193,4.717670503
A,Birds,Sylviacommunis,1.45E+01,5.24E+04,1.161,4.719331287
A,Birds,Ficedulahypoleuca,1.50E+01,5.60E+04,1.176,4.748188027
A,Birds,Dendrocopusmajor,8.16E+01,5.61E+04,1.912,4.748962861
A,Birds,Streptopeliadecaocto,1.52E+02,5.99E+04,2.182,4.777426822
A,Birds,Circuscyaneus,5.13E+02,6.08E+04,2.71,4.783903579
A,Birds,Anasplatyrhynchos,1.08E+03,6.31E+04,3.034,4.800029359
A,Birds,Sturnusvulgaris,8.47E+01,6.57E+04,1.928,4.81756537
A,Birds,Hirundorustica,1.90E+02,7.09E+04,2.279,4.850646235
A,Birds,ButeoButeo,9.69E+02,7.24E+04,2.986,4.859738566
A,Birds,Fulicaatra,8.53E+02,7.94E+04,2.931,4.899820502
A,Birds,Laniusludovicianus,4.70E+01,7.97E+04,1.672,4.901458321
A,Birds,Erithacusrubecula,1.82E+01,7.98E+04,1.26,4.902002891
A,Birds,Sylviacurruca,1.01E+01,8.09E+04,1.004,4.907948522
A,Birds,Falcocolumbarius,2.18E+02,8.11E+04,2.338,4.909020854
A,Birds,Laruscanus,4.32E+02,8.44E+04,2.635,4.926342447
A,Birds,Carduelisflammea,1.30E+01,8.47E+04,1.114,4.92788341
A,Birds,Motacillacinerea,2.10E+01,8.56E+04,1.322,4.932473765
A,Birds,Strixoccidentalis,6.37E+02,8.74E+04,2.804,4.941511433
A,Birds,Picoidesborealis,4.40E+01,9.00E+04,1.643,4.954242509
A,Birds,Athenenoctua,1.64E+02,9.43E+04,2.215,4.974511693
A,Birds,Oenantheoenanthe,2.40E+01,9.56E+04,1.38,4.980457892
A,Birds,Tytoalba,5.68E+02,9.71E+04,2.754,4.98721923
A,Birds,Eudocimusalbus,1.04E+03,1.00E+05,3.017,5
A,Birds,Motacillaalba,2.40E+02,1.00E+05,2.38,5
A,Birds,Alcedoatthis,3.58E+01,1.01E+05,1.554,5.003029471
A,Birds,Apusapus,3.76E+01,1.11E+05,1.575,5.045322979
A,Birds,Phylloscopustrochilus,8.70E+00,1.12E+05,0.94,5.050766311
A,Birds,Cygnusolor,1.18E+04,1.14E+05,4.072,5.056904851
A,Birds,Sylviaatricapilla,1.55E+01,1.17E+05,1.19,5.068185862
A,Birds,Cygnusbuccinator,1.14E+04,1.28E+05,4.057,5.10720997
A,Birds,Ripariariparia,1.50E+01,1.44E+05,1.176,5.158362492
A,Birds,Actitismacularia,4.77E+02,1.47E+05,2.679,5.166430114
A,Birds,Carduelischloris,3.00E+01,1.50E+05,1.477,5.176091259
A,Birds,Columbapalumbus,4.90E+02,1.50E+05,2.69,5.176091259
A,Birds,Phalacrocoraxpelagicus,2.03E+03,1.50E+05,3.307,5.176091259
A,Birds,Acrocephalusschoenobaenus,1.12E+01,1.56E+05,1.049,5.193124598
A,Birds,Otusasio,1.94E+02,1.59E+05,2.288,5.200029267
A,Birds,Falcotinnunculus,2.17E+02,1.59E+05,2.336,5.200850498
A,Birds,Elanusleucurus,3.25E+02,1.60E+05,2.512,5.204119983
A,Birds,Parabuteounicinctus,9.90E+02,1.60E+05,2.996,5.204119983
A,Birds,Asiootus,2.79E+02,1.62E+05,2.446,5.208441356
A,Birds,Accipiternisus,2.80E+02,1.66E+05,2.447,5.220108088
A,Birds,Larusridibundus,2.84E+02,1.90E+05,2.453,5.277609214
A,Birds,Larusfuscus,7.68E+02,2.02E+05,2.885,5.305351369
A,Birds,Ardeacinerea,1.44E+03,2.38E+05,3.159,5.37621185
A,Birds,Acrocephalusscirpaceus,1.20E+01,2.71E+05,1.079,5.432969291
A,Birds,Aegoliusfunereus,1.67E+02,3.00E+05,2.223,5.477121255
A,Birds,Buteoswainsoni,1.07E+03,3.20E+05,3.029,5.505149978
A,Birds,Prognesubis,4.90E+01,3.36E+05,1.69,5.526339277
A,Birds,Turdusmerula,9.50E+02,3.55E+05,2.978,5.550228353
A,Birds,Falcoperegrinus,9.52E+02,3.57E+05,2.979,5.552668216
A,Birds,Larusglaucescens,1.01E+03,4.00E+05,3.004,5.602059991
A,Birds,Aquilaadalberti,3.00E+03,4.30E+05,3.477,5.633468456
A,Birds,Passerinacyanea,1.08E+02,4.70E+05,2.033,5.672097858
A,Birds,Charadriusmelodus,5.52E+02,5.96E+05,2.742,5.77524626
A,Birds,Gymnorhinuscyanocephalus,1.03E+02,6.40E+05,2.013,5.806179974
A,Birds,Larusdelawarensis,5.70E+02,7.00E+05,2.756,5.84509804
A,Birds,Accipitergentilis,1.14E+03,1.15E+06,3.056,6.06069784
A,Birds,Bubovirginianus,1.56E+03,1.31E+06,3.192,6.115610512
A,Crustacean,Hemilepistusreaumuri,2.00E-01,1.10E+03,-0.699,3.041392685
A,Fish,Catostomussp.,9.01E+01,4.97E+02,1.955,2.696356389
A,Fish,Eusphyrablochii,4.79E+03,2.10E+03,3.681,3.322219295
A,Fish,Triaenodonobesus,4.24E+03,3.00E+03,3.627,3.477121255
A,Fish,Cyprinuscarpio,1.14E+03,3.09E+03,3.055,3.489958479
A,Fish,Carcharhinusdussumieri,1.67E+03,4.00E+03,3.221,3.602059991
A,Fish,Carcharhinusmelanopterus,5.52E+03,5.00E+03,3.742,3.698970004
A,Fish,Negaprionacutidens,2.04E+05,5.00E+03,5.31,3.698970004
A,Fish,Carcharhinusisodon,1.23E+04,6.00E+03,4.089,3.77815125
A,Fish,Carcharhinusalbimarginatus,3.52E+04,7.00E+03,4.546,3.84509804
A,Fish,Macquariaambigua,5.21E+02,7.48E+03,2.717,3.873901598
A,Fish,Haploblepharusfuscus,1.14E+03,8.00E+03,3.058,3.903089987
A,Fish,Heterodontusfrancisci,9.54E+02,1.90E+04,2.98,4.278753601
A,Fish,Aulohalaeluruslabiosus,9.29E+02,3.80E+04,2.968,4.579783597
A,Fish,Squalusmegalops,5.16E+02,3.90E+04,2.713,4.591064607
A,Fish,Nebriusferrugineus,8.61E+04,4.30E+04,4.935,4.633468456
A,Fish,Carcharhinusperezi,2.40E+04,4.80E+04,4.381,4.681241237
A,Fish,Scylliogaleusquecketti,1.38E+03,5.40E+04,3.139,4.73239376
A,Fish,Atelomycterusfasciatus,1.77E+02,6.30E+04,2.248,4.799340549
A,Fish,Rhizoprionodontaylori,2.53E+02,9.20E+04,2.403,4.963787827
A,Fish,Gadusmorhua,2.55E+03,1.18E+05,3.406,5.071882007
A,Fish,Triakissemifasciata,3.53E+03,1.40E+05,3.548,5.146128036
A,Fish,Carcharhinusfitzroyensis,3.11E+03,1.50E+05,3.493,5.176091259
A,Fish,Carcharhinusamblyrhychoides,2.10E+04,1.73E+05,4.322,5.238046103
A,Fish,Musteluspalumbes,2.44E+03,2.10E+05,3.386,5.322219295
A,Fish,Limandaferruginea,1.04E+03,2.26E+05,3.018,5.354300562
A,Fish,Mustelusmosis,2.05E+03,2.28E+05,3.312,5.357934847
A,Fish,Carcharhinusamboinensis,5.70E+04,2.42E+05,4.756,5.383815366
A,Fish,Carcharhinusacronotus,5.52E+03,3.15E+05,3.742,5.498310554
A,Fish,Sphyrnatiburo,1.46E+03,3.43E+05,3.164,5.53529412
A,Fish,Carcharhinussealei,1.99E+03,3.67E+05,3.299,5.564666064
A,Fish,Musteluscanis,2.17E+03,4.02E+05,3.337,5.604226053
A,Fish,Negaprionbrevirostris,7.94E+04,4.26E+05,4.9,5.629409599
A,Fish,Ginglymostomacirratum,6.34E+04,5.41E+05,4.802,5.733197265
